2026-01-17 12:08:00,962 | INFO | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'ChangelogGitHub': [{'topic': 'default/a2a/v1/agent/request/ChangelogGitHub'}, {'topic': 'default/a2a/v1/discovery/>'}, {'topic': 'default/a2a/v1/agent/response/ChangelogGitHub/>'}, {'topic': 'default/a2a/v1/agent/status/ChangelogGitHub/>'}, {'topic': 'default/sam/events/session/>'}]
2026-01-17 12:08:00,963 | INFO | solace_ai_connector.components.component_base | [changelog-github_app_broker_input] [solace_ai_connector.changelog-github_app_implicit_flow.changelog-github_app_broker_input]  Multi-session request/response is enabled.
2026-01-17 12:08:00,963 | INFO | solace_ai_connector.components.component_base | [changelog-github_app_broker_input] [solace_ai_connector.changelog-github_app_implicit_flow.changelog-github_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,963 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Multi-session request/response is enabled.
2026-01-17 12:08:00,963 | INFO | solace_ai_connector.components.component_base | [<unnamed>] [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,963 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-17 12:08:00,963 | INFO | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-17 12:08:00,963 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initializing agent: ChangelogGitHub (A2A ADK Host Component)...
2026-01-17 12:08:00,963 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Default session behavior set to: PERSISTENT
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Artifact Handling Mode: ignore
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initializing synchronous ADK services...
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initializing Session Service of type: memory
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initializing Artifact Service of type: filesystem
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.adk.artifacts.filesystem_artifact_service | Initialized FilesystemArtifactService. Base path: /tmp/samv2
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Wrapping artifact service with dynamic ScopedArtifactServiceWrapper.
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initializing Memory Service of type: memory
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.adk.services | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  No credential service configured, skipping initialization
2026-01-17 12:08:00,964 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initialized Synchronous ADK services.
2026-01-17 12:08:00,965 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Scheduling agent health check every 10 seconds.
2026-01-17 12:08:00,965 | INFO | solace_agent_mesh.agent.sac.component | [solace_ai_connector.changelog-github_app_implicit_flow.<unnamed>]  Initialized agent: ChangelogGitHub
2026-01-17 12:08:00,965 | INFO | solace_ai_connector.components.component_base | [changelog-github_app_broker_output] [solace_ai_connector.changelog-github_app_implicit_flow.changelog-github_app_broker_output]  Multi-session request/response is enabled.
2026-01-17 12:08:00,966 | INFO | solace_ai_connector.components.component_base | [changelog-github_app_broker_output] [solace_ai_connector.changelog-github_app_implicit_flow.changelog-github_app_broker_output]  Using parent app's broker configuration as default for multi-session request/response.
2026-01-17 12:08:00,966 | INFO | solace_ai_connector.solace_ai_connector | Creating app docs-agent_app
